region,hotel,date,review_positive,review_negative
yeosu,베니키아 호텔 여수,2022년 1월,"바다가 보이는 뷰가 좋았고, 객실과 욕실이 넓습니다. 주변에 식당들이 많은편입니다. 주차 주의사항에 대해 미리 안내받음","시설이나 바닥 등 연식이 조금 느껴졌으나, 청결해서 만회가 되었습니다. 주차장 통로가 좁고 가능대수가 객실에 비해 적음. (대신 호텔뒷편 공용주차장 사용가능)"
yeosu,베니키아 호텔 여수,2022년 1월,"조용하며 바다뷰가 보이는 전망, 일출 명소가 근처에 있어 1/1일에 일출보기 좋았음.","방이좀 건조하고, 침대가 너무 푹신했던점."
yeosu,베니키아 호텔 여수,2021년 12월,넓고 전망도 좋았다.  가족여행으로 가기 좋은 방이었음,침대가 너무 출렁거려서 잠자리가 불편했음.
yeosu,베니키아 호텔 여수,2021년 12월,바다뷰 좋았고 직원분들 친절했고 위치가 좋았음,방음이 안되서 옆방 말소리까지 다 들림
yeosu,베니키아 호텔 여수,2021년 12월,"따뜻하고 깨끗한 룸상태가 좋았고, 아침식사는 매우 만족스러웠습니다.",
yeosu,베니키아 호텔 여수,2021년 12월,"위치도 좋았고, 바다 뷰가 좋았어요 ㅎㅎㅎ  근처 편의점이 있다는 것도 좋았어요! 그리고 방이 넓었어요","주차장이 매우 협소하고 , 숙소 연식이 오래된게 티나요ㅠㅠ"
yeosu,베니키아 호텔 여수,2021년 12월,조식은 맛있게 먹었고 직원들도 친절했습니다.,
yeosu,베니키아 호텔 여수,2021년 12월,숙소 가성비와 청결도 그리고 친절함이좋아요~~ 바다가 잘보이는 뷰까지!!!,주로 놀러 가볼만곳과 10분~15분정도 걸리는게 쪼금 아쉬워요~
yeosu,베니키아 호텔 여수,2021년 12월,청결하고 룸크기도 크고 편리했음,식사중 빈접시정리를 해주는 일손이 없어서 불편했음
yeosu,베니키아 호텔 여수,2021년 12월,여수 여러번여행갔었는데요 아쿠아리움쪽 리조트 다이용해보왔쓰나 잠만 자기때문에 가격대비가성비짱인것같아요 ~~,여행할때는조금불편해요 케이블카 아쿠아 불꽃놀이크루즈 등등 이동거리는좀있어요
yeosu,베니키아 호텔 여수,2021년 11월,대중교통 이용하기에 위치가 너무 좋고 깔끔하니 매우 만족했습니다.,
yeosu,베니키아 호텔 여수,2021년 12월,"깨끗한 숙소, 친절한 직원분들 좋았어요",길옆이라서 조금은 소음이 있었네요
yeosu,베니키아 호텔 여수,2021년 10월,뷰 맛집이네요 조식도 맛있고요,
yeosu,베니키아 호텔 여수,2021년 12월,가격대비 아침식사 퀄리티가 훌륭했습니다! 보통 일반호텔에서 볼 수 있는 기본 서양식 아침식사 외에도 한식의 퀄리티가 소박하면서도 너무 맛있어서 깜짝 놀랐습니다~ 서울에서 같이 온 가족들도 맛있다고 좋아하더라구요.,편의점이 바로 근처는 아니라서 그 점 하나 빼고는 다 좋았습니다.
yeosu,베니키아 호텔 여수,2021년 12월,방이 넓고 깨끗함,없음 결재시 액간 수수료가 더해진것 같음.
yeosu,베니키아 호텔 여수,2021년 11월,조식도 다양하게 나와서 든든하게 잘 먹었습니다. 4인이 함께 사용하였는데 넓고 좋았습니다.,우리의 일정에 위치는 중간지점이라 좀 불편해서 왔다갔다를 몇번 했습니다. 그것 말고는 가성비 Goog입니다.
yeosu,베니키아 호텔 여수,2021년 11월,깔끔하고 맛잇는 아침식사 메뉴는 조촐했지만 가족들 전체가 칭찬했다 정말 먹을만한것들만 정성껏 준비되엇다는느낌 가성비 최고의 베니키아 입니다  한이틀 더묵엇으면 하는~~,객실바닥. 온돌이엇으면하느 아쉬움정도  그치만 이가격대에 이정도의 퀄러티는 전혀 손색이없습니다
yeosu,베니키아 호텔 여수,2021년 11월,위치가 조용해서 선택잘했네요! 가성비괞찮았고 조식 추천합니다 숙소도 깨끗하고 바다전망도 좋았어요,
yeosu,베니키아 호텔 여수,2021년 11월,전망이 좋았어요,주차장 시설이 무지 좁아요
yeosu,베니키아 호텔 여수,2021년 11월,휴식 공간이 넓어서 좋았슴,샤워시 화장실 물이 차서 붛편했다
yeosu,베니키아 호텔 여수,2021년 11월,조식제공은 마음에 들었습니다.,뷰가 오션방향이 아니였어요
yeosu,베니키아 호텔 여수,2021년 11월,아침식사도 기대이상이었어요 가성비 짱입니다,
yeosu,베니키아 호텔 여수,2021년 8월,노후된시설인데도 깨끗하고 뷰가좋아요 일단 가성비측면에서 최고입니다!,위치가 좀아쉬웠어요 노후된시설
yeosu,베니키아 호텔 여수,2021년 10월,"바다전망이 아주 좋았으며, 객실도 넓고, 조식도 가격대비 좋았습니다","주차공간이 넓지 않으며, 주변환경이 편안하지 않았으며, 호텔 내 수영장 등 부대시설이 부족했습니다"
yeosu,베니키아 호텔 여수,2021년 10월,숙수크기가 많이 커요 특히욕실은 사이즈가 큽니다 기본 제공되는 칫솔 빗 치약등 제공되구요 제일좋은건 가격대비 조식이 좋았고 숙소뷰가 제일 좋았습니다. 오전이면 오전 오후면 오후 바다뷰는 전망이 아주좋아요!,아쉬웠다기보다 준공이 조금되서 그런지 노후된 느낌은 있구요 주차장이 부족한편이긴하나 외부 공영주차장 이용할 수 있습니다.
yeosu,베니키아 호텔 여수,2021년 10월,"건물 지하주차장 입구가 좁아 인근 공영주차장 이용료 제공. 구시가지 식당가 근처 모텔촌에 위치해 밤 분위기가 좀 어수선했지만, 오션뷰가 제일 좋았음.넓은 화장실과 객실 리뉴얼, 인근 식사 및 산책 코스 친절히 안내해 준 직원 서비스, 따뜻한 바닥 히팅과 에어컨디셔너도 좋았음.","오래된 호텔 특유의 향, 공영주차장에서 호텔입구 걸어가는 길에 늘어선 모텔과 어두운 골목길이 좀 불편했음."
yeosu,베니키아 호텔 여수,2021년 10월,오션뷰와 넓은 욕조와 화장실이 좋았어요!,주차장.진입로가 너무 좁아서 무서웠어요! 하지만 바로 뒤 용기공영주차장에  주차하니 괜찮았어요^^
yeosu,베니키아 호텔 여수,2021년 10월,편리한 위치와 넓은 면적이 강점,옆방 물소리가 크게 들림
yeosu,베니키아 호텔 여수,2021년 10월,아침식사가 매우 맛있었습니다. 실내 공간과 욕실은 생각보다 더 넓게 느껴졌습니다. 객실에서의 전망도 훌륭합니다.,"밤에 잠을 자다가 12시 쯤 깨었는데, 옆방에서 TV를 크게 켜놓고 잠들었는지 그 소리가 그대로 들려서 3~4시간을 뜬눈으로 지냈습니다. 호텔의 문제라기 보다는 여행자의 문제라 생각합니다."
yeosu,베니키아 호텔 여수,2021년 10월,조식이 정성스럽고 깔끔해서 좋았습니다. 화장실과 샤워 시설도 나쁘지 않아서 편안한 여행이 되었습니다.,호텔 1층이나 지하에 편의점이 있으면 정말 완벽한 호텔이 될 듯 합니다^^
yeosu,베니키아 호텔 여수,2021년 10월,"조식 가지 수는 적었지만 찬이 깔끔하고 맛 , 직원들 친철 그리고 청결도 좋았습니다.",위치가 여수 중심부에서 떨어져서 조금 아쉬운 부분입니다.
yeosu,베니키아 호텔 여수,2021년 10월,위치는 중심가아니고 주변에 딱히할게없지만 맛집은 많고요! 산책하기도 너무좋아요 그리고뷰가정말좋어요 한적하니 화장실과 방이 짱넓어요,
yeosu,베니키아 호텔 여수,2021년 10월,깨끗하고 숙소 향!이 좋았고 룸이 다른 도심호텔보다 넓은? 느낌이었어요 다 좋았어요,베개가 좀 불편했어요 뭔가 저랑은 안맞았어요
yeosu,베니키아 호텔 여수,2021년 9월,바닷가 옆이라 조망도 좋았고 조식도 기대 이상이었습니다.,
yeosu,베니키아 호텔 여수,2021년 9월,한식 식사 좋았음. 직원들 친절하고 전반적인 청결도와 구비 시설 만족,"주차장 협소, 경사 급함. 코너링마다 후진해서 나감. 객실 내 공기순환 안 되어 문을 열고 잤는데 도로변이라 너무 시끄러움. 오션뷰지만 그닥 볼 것도 없었음. 양식 조식은 형편없었음."
yeosu,베니키아 호텔 여수,2021년 9월,완전 불리는 아니지만 침대와 거실이 나뉘어져 있어 좋았어요 욕조와 샤워브스가 불리된점도 좋았습니나.,주차장이 협소해서 공영주차장을 이용했어요 멀지는 않았지만 다소 불편한 감이 있었음
yeosu,베니키아 호텔 여수,2021년 9월,넓고 깨끗했습니다 다만 너무 건조해서 자고 일어나면 눈이 아팠어요;; 수건에 물 적셔서 주변에 놓고 주무시거나 컵에 물을 받아놓고 주무셔야 할 듯 합니다ㅠㅠ 직원분들은 친절하세요 ㅎㅎ 조식도 나름 먹을만 했네용. 2박3일 있었는데 물은 첫날만 제공되네요ㅠㅠ 그래서 이틀째 되는 날에는 물을 구매해야했어요. 개당 천원입니다.,다른 숙박업소처럼 물을 매일 제공해주셨으면 좋겠어요
yeosu,베니키아 호텔 여수,2021년 9월,방 넓었고 조식 제공되서 좋았어요,위치 오동도나 엑스포쪽하고 생각보다 거리가 멀었고 주차장은 주차하기가 너무 어려웠어요
yeosu,베니키아 호텔 여수,2021년 9월,여러가지 음식이 준비되 있어서 맛나게 먹었어요 ~~,여행 기간이 짧아서 ~~
yeosu,베니키아 호텔 여수,2021년 7월,침대 침구가 청결하고 편안하였다.,주차장 사정이 열악
yeosu,베니키아 호텔 여수,2021년 8월,금연이어서 매우 좋았으며 조식이 아주 흡족했습니다~~직원들도 친절했구요~~여수에 오면 다시 방문할겁니다~!,욕실에서 쬐끔 냄새가 났습니다 ~~
yeosu,베니키아 호텔 여수,2021년 8월,바다 바로앞 숙소앞이고 조용해서 너무 좋았어요  직원분들이 친절하시고 먹거리가 근처에 많아서 좋았어요,노트북 안켜져요ㅠ윗아래층옆인지 모르겠는데 창문닫는소리 뭐떨어지는소리가 디기 컸어요  수건하나에 빨간게 뭐 묻어서 조금 그랬습니다^^;
yeosu,베니키아 호텔 여수,2021년 7월,직원들의 친절은 감동이었습니다,주차장이 불편했어요
yeosu,베니키아 호텔 여수,2021년 8월,1.기대 이상으로 객실 상태가 쾌적 깔끔해 첫인상이 좋았음. 2.객실 크기가 일반보다 넓어서 갑갑함이 없이 여유있게 공간을 머물 수 있었음  3.어메니티가 아주 유용하게 구성되어 있고 샤워용품은 향도 좋아 바로 잘 사용할 수 있었음. sewing kit도 있었음 더 좋았을텐데 나무 큰 욕심이겠죠^^ 4.요즘 대부분 샤워부스만 있어 호텔 선택시 많이 살펴보는 편인데 베니키아는 피곤한 여독을 풀어줄 욕조가 딸려 있어 정말 좋았음. 5.조식도 기대 이상으로 만족스러웠음. 음식 가짓수 보다는 조화로운 음식 구성이 좋았음. 맛도 음식마다 훌륭했음. 2박 동안 메뉴도 달라져서 더욱 좋았음.,1.관광지와의 거리가 좀 있어 자동차로 이동했음에도 이동시간과 거리가 좀 있었음. 2.일정을 마치고 숙소로 돌아오면 주차장이 늘 만차여서 짐을 들고 이동하는게 약간 불편했음. 더군다나 비가 계속 와가지고 ㅜㅠ 3.주차장 입출차시 한 라인을 이용하게 되있어서 경광등과 감시카메라는 있어도 불안했음. 4.샤워 중 물에서 수영장에서 나는 물냄새가 났다. 동반자도 함께 느낌. 5.현관및 화장실 앞 마루바닥이 소리도 나고 꺼져있어 밟고 지날 때 좋지 않았음.
yeosu,베니키아 호텔 여수,2021년 8월,식사 위치 다 좋았어요,
yeosu,베니키아 호텔 여수,2021년 8월,"비용대비 방 크기도 좋고 방음도 잘 되어서 좋았습니다. 2성급 호텔로 나와있지만, 이 정도 수준이면 3성급 이상의 서비스를 받은 기분입니다.",
yeosu,베니키아 호텔 여수,2021년 8월,조식이 가능하였고 맛있는 편이었음.  직원들이 친절하였으며 객실이 매우 넓고 조용함. 가성비 좋은 가족단위 숙소로 추천함,위치가 주요 관광지에서 차로 30분 가량 떨어져있음. 발코니 전경이 사진만큼 좋은 편이 아님.
yeosu,베니키아 호텔 여수,2021년 8월,넓은 방과 오션뷰 전망이 좋았다. 침대도 편안해서 잘 쉬고 갈 수 있었다. 자체 주차장이 좁으나 호텔 뒷편 공영주차장으로 안내해주고 주차장 비용까지 처리해줘서 만족스러웠다.,여수 관광지(해상 케이블카 등)와는 거리가 조금 있다. 그것 빼고는 만족스러웠다.
yeosu,베니키아 호텔 여수,2021년 8월,,주차가 힘들엇어요
yeosu,베니키아 호텔 여수,2021년 7월,객실도 깨끗하고 침구도 너무 편안했습니다! 여름이라 너무 더운데 에어컨도 빵빵하니 만족이였고 무엇보다 아침을 먹을수 있어서 좋았어요!! 또한 객실이 너무 조용하니 편안했습니다!,주차공간이 너무 부족해서 아쉬웠어요…초보운전이라 주차하는게 미숙한데 숙소에는 주차공간이 꽉차고 옆에 유로 주차장은 너무 좁아서 힘들었습니다 또한 wifi가 필요했는데 잠겨있고 비밀번호 공유도 되어있지 않아서 아쉬웠어요.. 여름이라 음식물을 사고 냉장고에 넣어두는데 냉장고가 다소 좁고 약한것이 아쉬웠답니다
yeosu,베니키아 호텔 여수,2021년 7월,뷰가 예뻐요!,"방음이 전혀 안돼요. 옆방 대화 소리, 애기들 뛰는 소리에 머리 깨짐…"
yeosu,베니키아 호텔 여수,2021년 8월,무난했음,주차장이 좁고 적음
yeosu,베니키아 호텔 여수,2021년 7월,바다뷰 좋구 깨끗해서 만족합니다,주차장 주차가 너무 어렵고. 올라가는 통로가 비좁음 샤위실에 물이 잘안내려가요
yeosu,베니키아 호텔 여수,2021년 7월,조식 메뉴가 다양하고 맛있었어요.,주차타워가 협소했어요.
yeosu,베니키아 호텔 여수,2021년 7월,방음 외에는 다 좋아요,방음이 잘 안되요 옆방 별소리 다 듣고 왔습니다 주차장 협소
yeosu,베니키아 호텔 여수,2021년 7월,아침식사 좋았음,주차시설의 약간 불편함
yeosu,베니키아 호텔 여수,2021년 7월,전망이 좋고 쾌적합니다.,수건 교체 시기가 온것 같아요.
yeosu,베니키아 호텔 여수,2021년 6월,"호텔 방이 넓고 매우 깨끗해서 좋았어요. 뷰도 좋았고, 침대도 편안했습니다.",위치가 관광지들 모여있는 곳이랑은 조금 떨어져있는 편. 아침식사가 좀 부실했어요.
yeosu,베니키아 호텔 여수,2021년 7월,딱 비용만큼의 비지니스 호텔. ibis를 뛰어넘는 날이 오길.,화장실 냄새가 좀 심함. 바다 전망이긴한데 고압전선도 같이 보임;;
yeosu,베니키아 호텔 여수,2021년 7월,위치.주차는 일찍가서 잘했습니다.,청소가 제대로 안되어있었습니다. 누군가 쓴 1회용 샴프같은 껍질이 그대로 ㅠ.ㅜ 머리카락도...
yeosu,베니키아 호텔 여수,2021년 7월,조용하고 .청결하고 .조식도 만족합니다.,주차 시설이 단점이네요.
yeosu,베니키아 호텔 여수,2021년 7월,숙소도 넓고 깨끗하고 아침 조식도 맛있고 숙소는 생각보다 좋았습니다 호텔 전체 크기는 크지 않았지만 내부 특히 화장실이 넓고 깨끗해서 하루 이용하기엔 가성비가 좋은 호텔입니다,여수 엑스포역을 비롯하여 오동도 등 시내와 멀어서 이동시 택시비가 많이 들었던 점이 아쉬웠습니다. 지역을 잘 모르고 숙소를 선택했네요. 여천역에 가까운 곳이라는 점을 미리 알았으면 좋았을 텐데...
yeosu,베니키아 호텔 여수,2021년 7월,주위가 복잡하지 않음,인원수에 비해 식수부족
yeosu,베니키아 호텔 여수,2021년 6월,,건물 주차장 올라가는 길이 협소하여 매우 불편했습니다.
yeosu,베니키아 호텔 여수,2021년 6월,조식이만족스러움,
yeosu,베니키아 호텔 여수,2021년 6월,조용한거...,관광지와 거라가 있어 이동이 많음.[뚜벅이에게 비추]
yeosu,베니키아 호텔 여수,2021년 6월,침구가 깨끗하고 이불도 푹신해서 잠을 잘잤어요~ 생각보다 룸이 조금 커요 냉장고가 작긴하나 엄청 시원하고 조용하고 뒷쪽에 관공서 건물이 있어서 가격대비 좋은 식당들이 많고 10분정도 걸어가면 시내와 스타벅스가 있어서 좋았어요,시설에 비해서 10만원정도의 하루숙박비가 좀 비싼거 같아요~ 돌산대교와 20분~25분 차로 이동해야해서 주요 관광지랑 좀 멀게 느껴져요 일부러 바다뷰로 했는데 생각보다 별루예요 탁 트인 바다 느낌보다 작은 항구같은 느낌이예요 아래 도로부터 다 보이구요 주차장 진입로가 참 좁습니다
yeosu,베니키아 호텔 여수,2021년 6월,조용하고 테라스에서 여유롭게 시간을 보낼 수 있어 좋았습니다,주차안내를 (체크인전에)미리 공영주차장으로 안내해주셨으면 좋을 께 같아요
yeosu,베니키아 호텔 여수,2021년 6월,가격 대비 조식 훌륭함,
yeosu,베니키아 호텔 여수,2021년 6월,주변 상권이 발달해 있으나 시끄럽지 않은 식당 위주의 상권이며  산책하기 좋은 거리와 가까운 거리에 여행하기 좋은 곳이 있어 좋습니다 전망으로 보이는 해안은 낮에 보기 더 좋습니다. 주차장이 만차일 경우 뒷편(도보거리상 100m~150M정도) 공영 주차장을 이용하시면 되고 영수증을 체크아웃시 제시하면 현금으로 돌려 줍니다.,건물 내 주차장이 너무 협소합니다. 주차장으로 올라가는 길이 좁아 풀사이즈 SUV 및 대형차는 진입 자체가 불가능 합니다. 이에따른 안내사항이 충분하지 않아 주차장으로 올라가는 도중 내려와야 합니다. 커튼의 청결도가 떨어집니다. 얼룩이나 오염이 있는것이 아닌 먼지가 많아 창을 열어 바람을 쐴때 먼지가 펄럭거립니다.
yeosu,베니키아 호텔 여수,2021년 5월,가격대비 방이 넓었고 오션뷰가 끝내줬습니다.  욕조도 딸려있어서 편안하게 쉬고왔습니다,주차장이 아쉽습니다. 진입로가 너무 좁아서 진입하기 어려웠습니다. 전체적으로 관광호텔 느낌이라 약간 노후되어있습니다.
yeosu,베니키아 호텔 여수,2021년 5월,직원들이 매우 친절함,스위트룸이었는데 방음이 잘 안됨
yeosu,베니키아 호텔 여수,2021년 5월,"조식은 예상보다 깔끔하고 종류도 제법많아서 만족스러웠습니다. 직원들도 친절하고 좋은 여행이 되었습니다. 특히, 금액 대비 가성비와 여수 여행하기 좋은 위치여서 맘에 들었네요..",크게 아쉬운점은 없었네요 ^^
yeosu,베니키아 호텔 여수,2021년 5월,가성비대비 시설ㆍ친절도ㆍ비치품등모든것이아주좋았습니다,없음가성비대비
yeosu,베니키아 호텔 여수,2021년 5월,,주차장의 협소
yeosu,베니키아 호텔 여수,2021년 5월,넓고 쾌적,조식 좋다는 평이 많아 너무 기대를 해선지 아니면 코로나로 인한 이용객 감소로 인함인지 가격대비 먹거리가 다양하지 않음
yeosu,베니키아 호텔 여수,2021년 5월,직원분들 친절해서 좋은 인상 가지고 잘 쉬다 왔습니다. 아침 식사 무엇을 먹나 고민 안하고 조식으로 해결해서 좋았습니다.,가성비 괜찮은 편입니다. 다음 여수 여행때도 다시 이용할 생각입니다. 감사합니다.
yeosu,베니키아 호텔 여수,2021년 4월,친절하고 깨끗함 바다뷰 라서 아주 좋았음. 저녁식사후 호텔 앞 야경보면서 바다를 끼고 둘레길 좋았어요. 조식 뷔페 아주 좋았어요.,샤워부스 물이 잘안빠짐 물구배가 반대로되어있음. 1004호. 주차장 진출입로 가 좁아서 불편함
yeosu,베니키아 호텔 여수,2021년 5월,"모든 게 다 맘에 들었습니다. 가격, 뷰, 위치, 조식, 주차, 서비스, 청결 다 만족했구요. 추천합니다~ 보통 숙소 잠자리가 불편해서 잘 못 자는 편인데 이곳에서는 신기하리만치 잘 잤습니다. 바다가 보이는 뷰가 특히 좋았습니다~",드라이기가 너무 오래돼서 작동이 잘 안됐어요.
yeosu,베니키아 호텔 여수,2021년 5월,좋은뷰 여행하기 좋은 위치 친절한직원,시설이 오래됨 주차장 협소 - 근처 공용주차장 추천
yeosu,베니키아 호텔 여수,2021년 4월,"뷰가 좋습니다. 룸과 화장실이 넓습니다 호텔주위에 식당과 호프집,편의점등 늦은시간에 식사 해결하기가 좋습니다",없습니다
yeosu,베니키아 호텔 여수,2021년 4월,,대형차는 주차하기가 매우 어렵습니다. 주차장 통로가 소형차를 대상으로 설계되어 있습니다.
yeosu,베니키아 호텔 여수,2021년 3월,4인가족이 편안히 쉴 공간있는 호텔은 많지 않아요.,주차장이 좁고 쉽게 만차되어 밖에다 주차해야함
yeosu,베니키아 호텔 여수,2021년 4월,"조식이 너무 좋았어요. 맛있고, 메뉴도 적당하고.",
yeosu,베니키아 호텔 여수,2021년 4월,"직원분들도 매우 친절했고, 청결 수준도 높았습니다. 또한 바다전망 방으로 예약해서 그런지 밤에 조용했고 방에서 바라보는 바깥의 풍경도 좋았습니다.",조식 메뉴가 깔끔하긴 했지만 메뉴 대비 가격이 다소 높다고 느꼈습니다. 그리고 화장실의 경우 샤워 부스에만 배수구가 있고 세면대/화장실 쪽에는 배수구가 없어 바닥에 물이 떨어질 경우 수건으로 닦아야 하는 구조였습니다.
yeosu,베니키아 호텔 여수,2021년 4월,부폐로 종류가 아주 다양하진 않지만 한식과 양식을 두루 갖춤. 커피맛 좋아 2 잔 먹었음. 앞 바다가 잔잔한 수면으로 좋은 느낌을 줌.,방문은 얇아 지나가는 사람들 소리 잘들림. 창 밖에 도로는 통행량이 많지 않지만 오토바이 소리가 잘 들림. 화장실에서 물 내려가는 소리 치고는 이상한 소음이 몇 번 발생해 불안하였음.
yeosu,베니키아 호텔 여수,2021년 4월,위치적으로도 시설도 전부 좋았어요.,
yeosu,베니키아 호텔 여수,2021년 3월,조식이 좋아요,방간 방음이 안되요
yeosu,베니키아 호텔 여수,2021년 3월,조식이 기대이상이라 좋았어요 객실도 크고ㅋ,너무 건조했네요ㅋ
yeosu,베니키아 호텔 여수,2021년 3월,문제가 생기자 빠른대처가 좋았어요,밤10시쯤 위에서 물내려오는소리가들려 프론트에 얘기하니 룸을 업그레이드해주셨어요
yeosu,베니키아 호텔 여수,2021년 2월,직원분들 친절하시고 조식 괜찮고 뷰 괜찮음 관광지와 가깝지않아서 조용히 바다보면서 쉬기 괜찮은호텔,
yeosu,베니키아 호텔 여수,2021년 3월,"일단 객실이 넓고 깨끗하고, 어메니티도 여유있게 구비되어 있어요👍🏻👍🏻밖에 뷰도 너무 이쁘고 진짜 또 숙박할 의향 100% 💗💗","위치가 관광지랑은 쫌 멀어요,,ㅠㅠ 어디 구경하러 갈려면 쫌 오래가야되요. 차 갖고 오는게 좋을것 같아요"
yeosu,베니키아 호텔 여수,2021년 2월,가성비가 무척높은호텔이였어요 주차가다소간어려웠지만 뒷편에 공용주차장이 마련되어 있어서 좋았어요 다음다시금 찾고 싶은 호텔이였어요,
yeosu,베니키아 호텔 여수,2021년 2월,"직원분들이 아주 친절했어요. 주변 여러 시설, 먹거리좋고 경치도 아주 좋아요. 조깅 산책 모두할 수 있고요",주차장이 비좁아요. 큰 승용차는 어려움
yeosu,베니키아 호텔 여수,2021년 2월,1. TV가 잘 나왔다 2. 침대가 넓고 푹신했다,1. 이불이 몹시 더웠다 2. 노트북이 구형이라 와파도 안된다
yeosu,베니키아 호텔 여수,2021년 2월,호텔내부도 청결하고 직원분들도 친절해서 좋았어요  조용하고 한적해서 쉬고 오기에 좋았어요.,옆방에서 의자를 창가로 가져와서 떠드는 바람에 창가쪽은 방음이 잘 안 되는지 대화소리에 잠들기가 어려워서 호텔 리셉션에 전화했어요. ㅠ 위치도 여수밤바다 야경 스팟에서 조금 멀어서 (차로 15분정도 )아쉬웠어요.
yeosu,베니키아 호텔 여수,2021년 1월,여수 주요 관광지와는 좀 떨어져 있지만 직원분들도 친절하시고 조식도 괜찮았어요^^청소도 깨끗이 잘해주셨어요 샤워하는데 물도 잘 나오고 온천수 느낌나서 좋았어요,패밀리 디럭스가 생각보다는 좀 좁았어요
yeosu,베니키아 호텔 여수,2021년 1월,조식이 좋았습니다.,주차가 힘들어요.
yeosu,베니키아 호텔 여수,2021년 1월,직원의 고객 응대가 매우친절하였슴,
yeosu,베니키아 호텔 여수,2021년 1월,직원분들 모두 친절 조식부페 완전 맛있음..최고!,사진보다 시설이 다소 낡은 점
yeosu,베니키아 호텔 여수,2021년 1월,아침은 가짓수는 많지 않았지만 정갈하고 맛있습니다.,숙소내에 소파가 있었으면 좋았을 것 같습니다.
yeosu,베니키아 호텔 여수,2021년 1월,조식이 맛있었음.,방음이 잘 안 되었음.
yeosu,베니키아 호텔 여수,2020년 12월,넓음. 화장실도넓음. 조식 가성비굿.,방의 인테리어가 올드한 느낌. 개선되면 좋을듯.
yeosu,베니키아 호텔 여수,2020년 12월,"군더더기없는 시설이라 맘에 들었고, 화장실 물내리는것이 맘에 들었습니다. 옆방 소음이 조금은 들리는데 방음이 아주 나쁘진않아요.",
